  0  Lactuca virosa              | Bitter Lettuce              | Acı Marul
415  Hypericum elodes            | Marsh St. John's Wort       | Bataklık Kantaronu
416  Hypericum x inodorum        | —                           | —
417  Hypericum maculatum         | Imperforate St. Jw.         | Lekeli Kantaron
418  Hypericum nummularium       | Round-leaved St. Jw.        | Yuvarlak Yapraklı Kantaron
419  Hypericum pulchrum          | Slender St. John's Wort     | İnce Kantaron
420  Hypericum richeri           | Richer's St. John's Wort    | —
421  Dierama pulcherrimum        | Angel's Fishing Rod         | Melek Olta Çubuğu
422  Iva xanthiifolia            | Marsh Elder                 | Bataklık Mürver
423  Kniphofia uvaria            | Red Hot Poker               | Kızıl Ateş Mızrağı
424  Lactuca alpina              | Alpine Lettuce              | Alp Marulu
425  Lactuca macrophylla         | Large-leaved Lettuce        | Büyük Yapraklı Marul
426  Lactuca viminea             | Pliant Lettuce              | —
427  Lamium album                | White Deadnettle            | Beyaz Ballıbaba
428  Lamium maculatum            | Spotted Deadnettle          | Benekli Ballıbaba
429  Lathraea clandestina        | Purple Toothwort            | Mor Diş Otu
430  Lathraea squamaria          | Toothwort                   | Diş Otu
431  Lavandula x intermedia      | Lavandin                    | Lavandin
432  Lavandula latifolia         | Spike Lavender              | Sivri Lavanta
433  Limnanthes douglasii        | Meadowfoam                  | Çayır Köpüğü
434  Liriodendron tulipifera     | Tulip Tree                  | Lale Ağacı
435  Lupinus arboreus            | Tree Lupin                  | Ağaç Acı Bakla
436  Lupinus x regalis           | —                           | —
437  Maianthemum bifolium        | May Lily                    | Mayıs Zambağı
438  Melilotus altissimus        | Tall Melilot                | Uzun Boylu Taş Yoncası
439  Melilotus officinalis       | Yellow Sweet Clover         | Sarı Taş Yoncası
440  Melilotus spicatus          | Spiked Melilot              | Başaklı Taş Yoncası
441  Mercurialis ambigua         | —                           | —
442  Mercurialis tomentosa       | Woolly Mercury              | Yünlü Civa Otu
443  Moehringia ciliata          | Ciliate Sandwort            | Kirpikli Kum Otu
444  Moehringia muscosa          | Mossy Sandwort              | Yosunlu Kum Otu
445  Moehringia pentandra        | Five-stamened Sandwort      | Beş Erkekli Kum Otu
446  Narthecium ossifragum       | Bog Asphodel                | Bataklık Asfodeli
447  Neotinea lactea             | Milky Orchid                | Sütlü Orkide
448  Neotinea ustulata           | Burnt Orchid                | Yanmış Orkide
449  Noccaea caerulescens        | Alpine Pennycress           | Alp Akça Otu
450  Noccaea montana             | Mountain Pennycress         | Dağ Akça Otu
451  Noccaea rotundifolia        | Round-leaved Pennycress     | Yuvarlak Yapraklı Akça Otu
452  Nymphaea candida            | Pygmy Waterlily             | Cüce Nilüfer
453  Nymphoides peltata          | Fringed Waterlily           | Saçaklı Nilüfer
454  Ophrys arachnitiformis      | False Spider Orchid         | Sahte Örümcek Orkidesi
455  Ophrys aranifera            | Early Spider Orchid         | Erken Örümcek Orkidesi
456  Ophrys aveyronensis         | —                           | —
457  Ophrys aymoninii            | —                           | —
458  Ophrys bertolonii           | Bertoloni's Bee Orchid      | Bertoloni Arı Orkidesi
459  Ophrys catalaunica          | Catalan Ophrys              | Katalan Orkidesi
460  Ophrys exaltata             | Tall Ophrys                 | Uzun Boylu Orkide
461  Ophrys fuciflora            | Late Spider Orchid          | Geç Örümcek Orkidesi
462  Ophrys incubacea            | Black Spider Orchid         | Siyah Örümcek Orkidesi
463  Ophrys lupercalis           | Early Bee Orchid            | Erken Arı Orkidesi
464  Ophrys morisii              | —                           | —
465  Ophrys passionis            | —                           | —
466  Ophrys provincialis         | Provençal Ophrys            | Provans Orkidesi
467  Ophrys saratoi              | —                           | —
468  Ophrys sulcata              | —                           | —
469  Oreopteris limbosperma      | Lemon-scented Fern          | Limon Kokulu Eğrelti
470  Anemone x hybrida           | Japanese Anemone            | Japon Anemonu
471  Anemone alpina              | Alpine Anemone              | Alp Anemonu
472  Pancratium illyricum        | Illyrian Sea Daffodil       | İlirya Kum Zambağı
473  Anemone apennina            | Blue Anemone                | Mavi Anemon
474  Anemone baldensis           | Mount Baldo Anemone         | Baldo Dağı Anemonu
475  Papaver alpinum             | Alpine Poppy                | Alp Geliniği
476  Papaver croceum             | Iceland Poppy               | İzlanda Geliniği
477  Papaver orientale           | Oriental Poppy              | Doğu Geliniği
478  Papaver pseudoorientale     | False Oriental Poppy        | Sahte Doğu Geliniği
479  Papaver rhaeticum           | Rhaetian Poppy              | Retya Geliniği
480  Anemone halleri             | Haller's Anemone            | Haller Anemonu
481  Anemone hepatica            | Liverwort                   | Ciğer Otu
482  Pelargonium x hybridum      | Hybrid Geranium             | Melez Sardunya
483  Pelargonium inquinans       | Scarlet Geranium            | Kırmızı Sardunya
484  Pelargonium peltatum        | Ivy Geranium                | Sarmaşık Sardunyası
485  Anemone montana             | Mountain Anemone            | Dağ Anemonu
486  Anemone nemorosa            | Wood Anemone                | Orman Anemonu
487  Anemone pulsatilla          | Pasque Flower               | Paskalya Çiçeği
488  Anemone rubra               | Red Anemone                 | Kırmızı Anemon
489  Phedimus stellatus          | Starfish Plant              | Denizyıldızı Bitkisi
490  Anemone sylvestris          | Snowdrop Anemone            | Kar Damlası Anemonu
491  Anemone trifolia            | Three-leaved Anemone        | Üç Yapraklı Anemon
492  Anemone vernalis            | Spring Anemone              | Bahar Anemonu
493  Angelica heterocarpa        | —                           | —
494  Angelica razulii            | —                           | —
495  Angelica sylvestris         | Wild Angelica               | Yabani Melek Otu
496  Pleurospermum austriacum    | Austrian Pleurospermum      | —
497  Sasa palmata                | Bamboo                      | Bambu
498  Anthericum ramosum          | Branched St. Bernard's Lily | Dallı Aziz Bernard Zambağı
499  Pyracantha coccinea         | Scarlet Firethorn           | Kırmızı Ateş Dikeni
500  Pyracantha rogersiana       | Roger's Firethorn           | Rogers Ateş Dikeni
501  Holodiscus discolor         | Oceanspray                  | Okyanus Spreyi
502  Sagittaria graminea         | Grass-leaved Arrowhead      | Çimen Yapraklı Ok Otu
503  Sagittaria latifolia        | Broadleaf Arrowhead         | Geniş Yapraklı Ok Otu
504  Sagittaria sagittifolia     | Arrowhead                   | Ok Otu
505  Diascia rigescens           | Rigid Twinspur              | Sert Çift Mahmuz
506  Diascia vigilis             | —                           | —
507  Sedum sarmentosum           | Gold Moss Stonecrop         | Altın Yosun Damkoruğu
508  Sedum alpestre              | Alpine Stonecrop            | Alp Damkoruğu
509  Sedum annuum                | Annual Stonecrop            | Yıllık Damkoruğu
510  Sedum kamtschaticum         | Kamschatka Stonecrop        | Kamçatka Damkoruğu
511  Sedum mexicanum             | Mexican Stonecrop           | Meksika Damkoruğu
512  Sedum ochroleucum           | Pale Stonecrop              | Soluk Damkoruğu
513  Sedum sexangulare           | Tasteless Stonecrop         | —
514  Metasequoia glyptostroboides| Dawn Redwood                | Şafak Sekoyası
515  Telekia speciosa            | Yellow Ox-eye               | Sarı Öküz Gözü
516  Thesium alpinum             | Alpine Bastard Toadflax     | —
517  Thesium linophyllon         | Flax-leaved Bastard Toadflax| —
518  Tradescantia x andersoniana | Spiderwort                  | Örümcek Otu
519  Tradescantia virginiana     | Virginia Spiderwort         | Virginia Örümcek Otu
520  Trifolium alpestre          | Downy Clover                | Tüylü Yonca
521  Trifolium alpinum           | Alpine Clover               | Alp Yoncası
522  Trifolium pallescens        | Pale Clover                 | Soluk Yonca
523  Trifolium spadiceum         | Brown Clover                | Kahverengi Yonca
524  Trifolium thalii            | Thal's Clover               | —
525  Viscaria alpina             | Alpine Campion              | Alp Çan Çiçeği
526  Viscaria vulgaris           | Common Catchfly             | Sıradan Yapışkan Ot
527  Anemone hupehensis          | Chinese Anemone             | Çin Anemonu
528  Anemone vitifolia           | Grapeleaf Anemone           | Asma Yapraklı Anemon
529  Adenostyles alpina          | Alpine Adenostyles          | —
530  Alcea biennis               | Biennial Hollyhock          | İki Yıllık Gülhatmi
531  Anemone narcissiflora       | Narcissus Anemone           | Nergiz Anemonu
532  Anemone ranunculoides       | Yellow Wood Anemone         | Sarı Orman Anemonu
533  Angelica archangelica       | Garden Angelica             | Bahçe Melek Otu
534  Chaerophyllum bulbosum      | Bulbous Chervil             | Yumrulu Frenk Maydanozu
535  Cirsium acaulon             | Stemless Thistle            | Sapssız Devedikeni
536  Cirsium spinosissimum       | Spiny Thistle               | Dikenli Devedikeni
537  Cymbalaria muralis          | Ivy-leaved Toadflax         | Sarmaşık Yapraklı Koyungözü
538  Eritrichium nanum           | Alpine Forget-me-not        | Alp Unutma Beni
539  Fragaria viridis            | Green Strawberry            | Yeşil Çilek
540  Honckenya peploides         | Sea Sandwort                | Deniz Kum Otu
541  Hypericum hyssopifolium     | Hyssop-leaved St. Jw.       | Mercanköşk Yapraklı Kantaron
542  Hypericum mutilum           | Dwarf St. John's Wort       | Cüce Kantaron
543  Lactuca perennis            | Mountain Lettuce            | Dağ Marulu
544  Sedum atratum               | Dark Stonecrop              | Koyu Damkoruğu
545  Thesium pyrenaicum          | Pyrenean Bastard Toadflax   | —
546  Trifolium medium            | Zigzag Clover               | Zigzag Yonca
547  Trinia glauca               | Honewort                    | —
548  Sedum montanum              | Mountain Stonecrop          | Dağ Damkoruğu
549  Trifolium badium            | Brown Clover                | Kahverengi Yonca
550  Freesia refracta            | Freesia                     | Frezya
551  Freesia alba                | White Freesia               | Beyaz Frezya
552  Cobaea scandens             | Cup and Saucer Vine         | Fincan Tabak Sarmaşığı
553  Fragaria virginiana         | Virginia Strawberry         | Virginia Çileği
554  Anemone pratensis           | Meadow Anemone              | Çayır Anemonu
555  Sagittaria lancifolia       | Lance-leaved Arrowhead      | Mızrak Yapraklı Ok Otu
556  Neotinea tridentata         | Trident Orchid              | Üç Dişli Orkide
557  Adenostyles alliariae       | Common Adenostyles          | —
558  Ophrys pseudoscolopax       | —                           | —
559  Sedum palmeri               | Palmer's Stonecrop          | Palmer Damkoruğu
560  Hypericum olympicum         | Olympic St. John's Wort     | Olimpos Kantaronu
561  Tradescantia zebrina        | Inch Plant                  | Çizgili Tradeskansiya
562  Dryopteris erythrosora      | Autumn Fern                 | Sonbahar Eğreltisi
563  Adenostyles leucophylla     | —                           | —
564  Calycanthus floridus        | Carolina Allspice           | Karolina Yenibaharı
565  Phyllanthus niruri          | Stonebreaker                | Taş Kıran
566  Ophrys araneola             | Small Spider Orchid         | Küçük Örümcek Orkidesi
567  Anemone blanda              | Balkan Anemone              | Balkan Anemonu
568  Aralia elata                | Japanese Angelica Tree      | Japon Melek Ağacı
569  Ophrys virescens            | Green Ophrys                | Yeşil Orkide
570  Clethra alnifolia           | Summersweet                 | Yaz Tatlısı
571  Corispermum pallasii        | Bugseed                     | —
572  Hypericum patulum           | Goldencup St. John's Wort   | Altın Kaplı Kantaron
573  Hypericum x hidcoteense     | Hidcote St. John's Wort     | Hidcote Kantaronu
574  Lupinus nootkatensis        | Nootka Lupin                | Nootka Acı Bakla
575  Smilax rotundifolia         | Common Greenbrier           | Sıradan Gıcır
576  Perovskia atriplicifolia    | Russian Sage                | Rus Adaçayı
577  Nothofagus antarctica       | Antarctic Beech             | Antarktika Kayını
578  Iva annua                   | Annual Marsh Elder          | Yıllık Bataklık Mürver
579  Dryopteris fragrans         | Fragrant Fern               | Kokulu Eğrelti
580  Neotinea conica             | Conical Orchid              | Konik Orkide
581  Tetraclinis articulata      | Sandarac                    | Sandarac Ağacı
582  Alcea setosa                | Bristly Hollyhock           | Dikenli Gülhatmi
583  Chaerophyllum aromaticum    | Aromatic Chervil            | Aromatik Frenk Maydanozu
584  Cucurbita moschata          | Butternut Squash            | Balkabağı
585  Daphne sericea              | Silky Daphne                | İpekli Defne
586  Lamium orvala               | Large Deadnettle            | Büyük Ballıbaba
587  Paederota bonarota          | —                           | —
588  Rhodothamnus chamaecistus   | Dwarf Rose Bay              | Cüce Defne Gülü
589  Ophrys lunulata             | Crescent Ophrys             | Hilal Orkidesi
590  Schefflera actinophylla     | Umbrella Tree               | Şemsiye Ağacı
591  Astydamia latifolia         | Rock Samphire               | Kaya Kayakoruğu
592  Lavandula pinnata           | Canary Islands Lavender     | Kanarya Adaları Lavantası
593  Angelica atropurpurea       | Great Angelica              | Büyük Melek Otu
594  Acacia pravissima           | Ovens Wattle                | —
595  Adonis pyrenaica            | Pyrenean Pheasant's Eye     | Pireneler Pırnallısı
596  Adonis vernalis             | Spring Pheasant's Eye       | Bahar Pırnallısı
597  Barbarea rupicola           | Rock Rocket                 | Kaya Roketi
598  Barbarea vulgaris           | Yellow Rocket               | Sarı Roket
599  Acacia baileyana            | Cootamundra Wattle          | Cootamundra Akasyası
600  Bellium bellidioides        | False Daisy                 | Yalancı Papatya
601  Bocoa prouacensis           | —                           | —
602  Nephrolepis biserrata       | Giant Sword Fern            | Dev Kılıç Eğreltisi
603  Vanilla pompona             | Pompona Vanilla             | —
604  Guatteria anteridifera      | —                           | —
605  Caraipa densifolia          | —                           | —
606  Caraipa punctulata          | —                           | —
607  Vismia cayennensis          | —                           | —
608  Vismia macrophylla          | —                           | —
609  Vismia sessilifolia         | —                           | —
610  Dryopteris wallichiana      | Wallich's Wood Fern         | Wallich Eğreltisi
611  Xylopia frutescens          | Wild Pepper Tree            | Yabani Biber Ağacı
612  Xylopia nitida              | —                           | —
613  Xylopia sericea             | —                           | —
614  Phyllanthus urinaria        | Chamber Bitter              | —
615  Pogonophora schomburgkiana  | —                           | —
616  Sagotia racemosa            | —                           | —
617  Bonafousia undulata         | —                           | —
618  Guarea gomma                | —                           | —
619  Nymphoides indica           | Water Snowflake             | Su Kar Tanesi
620  Anthurium hookeri           | Bird's Nest Anthurium       | Kuş Yuvası Anturyumu
621  Anthurium jenmanii          | —                           | —
622  Anthurium scandens          | Climbing Anthurium          | Tırmanıcı Anturyum
623  Dracontium polyphyllum      | —                           | —
624  Crotalaria retusa           | Rattleweed                  | Çıngırak Otu
625  Peperomia magnoliifolia     | Wax Privet Peperomia        | Mum Balmumu Peperomu
626  Peperomia obtusifolia       | Baby Rubber Plant           | Bebek Kauçuk Bitkisi
627  Peperomia quadrangularis    | —                           | —
628  Peperomia rotundifolia      | Trailing Jade               | Sarkık Yeşim
629  Peperomia serpens           | —                           | —
630  Declieuxia fruticosa        | —                           | —
631  Mauritia flexuosa           | Moriche Palm                | Moriche Palmiyesi
632  Urera baccifera             | Stinging Nettle Tree        | Yakıcı Isırgan Ağacı
633  Pereskia bleo               | Wax Rose                    | Mum Gülü
634  Cereus hexagonus            | Six-angled Cactus           | Altı Köşeli Kaktüs
635  Xylopia crinita             | —                           | —
636  Vanilla planifolia          | Vanilla                     | Vanilya
637  Aciotis rubricaulis         | —                           | —
638  Guatteria amplifolia        | —                           | —
639  Luffa cylindrica            | Luffa / Sponge Gourd        | Lif Kabağı
640  Cryptostegia madagascariensis| Madagascan Rubber Vine     | Madagaskar Kauçuk Sarmaşığı
641  Schefflera decaphylla       | —                           | —
642  Aphelandra scabra           | —                           | —
643  Asystasia gangetica         | Chinese Violet              | Çin Menekşesi
644  Piriqueta cistoides         | —                           | —
645  Acalypha wilkesiana         | Copper Leaf                 | Bakır Yaprak
646  Breynia disticha            | Snowbush                    | Kar Çalısı
647  Crotalaria incana           | Shakeshake                  | —
648  Crotalaria pallida          | Smooth Crotalaria           | —
649  Kigelia africana            | Sausage Tree                | Sosis Ağacı
650  Guatteria citriodora        | —                           | —
651  Acalypha indica             | Indian Nettle               | Hint Isırganı
652  Guatteria punctata          | —                           | —
653  Anthurium crystallinum      | Crystal Anthurium           | Kristal Anturyum
654  Cryptopus elatus            | —                           | —
655  Cryptostegia grandiflora    | Rubber Vine                 | Kauçuk Sarmaşığı
656  Eranthemum pulchellum       | Blue Sage                   | Mavi Adaçayı
657  Alocasia cucullata          | Chinese Taro                | Çin Göleği
658  Alocasia longiloba          | Long-lobed Alocasia         | Uzun Loblu Alokasya
659  Alocasia macrorrhizos       | Giant Taro                  | Dev Gölek
660  Faujasia salicifolia        | —                           | —
661  Fernelia buxifolia          | —                           | —
662  Fragaria x ananassa         | Garden Strawberry           | Bahçe Çileği
663  Geniostoma borbonicum       | —                           | —
664  Hernandia mascarenensis     | —                           | —
665  Hypericum lanceolatum       | Lance-leaved St. Jw.        | Mızrak Yapraklı Kantaron
666  Acacia auriculiformis       | Earleaf Acacia              | Kulaklı Akasya
667  Leonitis nepetifolia        | Christmas Candlestick       | Noel Şamdanı
668  Mussaenda arcuata           | —                           | —
669  Nephrolepis abrupta         | —                           | —
670  Acacia heterophylla         | Réunion Acacia              | Réunion Akasyası
671  Paederia foetida            | Stinkvine                   | Koku Sarmaşığı
672  Pelargonium x asperum       | Rough-leaved Geranium       | Pürüzlü Yapraklı Sardunya
673  Pereskia grandifolia        | Rose Cactus                 | Gül Kaktüsü
674  Antirhea borbonica          | —                           | —
675  Phyllanthus emblica         | Indian Gooseberry           | Hint Bektaşiüzümü
676  Phyllanthus niruroides      | —                           | —
677  Phyllanthus phillyreifolius | —                           | —
678  Pongamia pinnata            | Indian Beech                | Hint Meşesi
679  Acacia podalyriifolia       | Queensland Silver Wattle    | Queensland Gümüş Akasya
680  Schefflera actinophylla     | Umbrella Tree               | Şemsiye Ağacı
681  Acalypha hispida            | Chenille Plant              | Kadife Otu
682  Acalypha integrifolia       | —                           | —
683  Stemodia verticillata       | —                           | —
684  Stoebe passerinoides        | —                           | —
685  Strongylodon macrobotrys    | Jade Vine                   | Yeşim Sarmaşığı
686  Tradescantia pallida        | Purple Heart                | Mor Yürek Otu
687  Trimezia martinicensis      | Prairie Iris                | Çayır Süseni
688  Vangueria madagascariensis  | Spanish Tamarind            | İspanyol Demirhindi
689  Vepris lanceolata           | White Ironwood              | Beyaz Demir Ağacı
690  Zaleya pentandra            | —                           | —
691  Cereus repandus             | Peruvian Apple Cactus       | Peru Elma Kaktüsü
692  Bismarckia nobilis          | Bismarck Palm               | Bismarck Palmiyesi
693  Acacia nilotica             | Gum Arabic Tree             | Arap Zamkı Ağacı
694  Schefflera arboricola       | Dwarf Umbrella Tree         | Cüce Şemsiye Ağacı
695  Fragaria chiloensis         | Beach Strawberry            | Plaj Çileği
696  Aphelandra squarrosa        | Zebra Plant                 | Zebra Bitkisi
697  Gynura aurantiaca           | Purple Velvet Plant         | Mor Kadife Bitkisi
698  Pereskia aculeata           | Barbados Gooseberry         | Barbados Bektaşiüzümü
699  Peperomia argyreia          | Watermelon Peperomia        | Karpuz Peperomu
700  Peperomia caperata          | Ripple Peperomia            | Kırışık Peperomu
701  Peperomia obtusifolia       | Baby Rubber Plant           | Bebek Kauçuk Bitkisi
702  Anthurium andraeanum        | Flamingo Flower             | Flamingo Çiçeği
703  Anthurium scherzerianum     | Pigtail Anthurium           | Domuz Kuyruğu Anturyumu
704  Zamia furfuracea            | Cardboard Palm              | Karton Palmiyesi
705  Dendrobium nobile           | Noble Dendrobium            | Asil Dendrobium
706  Nandina domestica           | Heavenly Bamboo             | Göksel Bambu
707  Nymphaea nouchali           | Blue Star Waterlily         | Mavi Yıldız Nilüferi
708  Falcataria moluccana        | Batai                       | Batai Ağacı
709  Acacia tortuosa             | Twisted Acacia              | Buruk Akasya
710  Bourreria succulenta        | —                           | —
711  Crotalaria brevidens        | —                           | —
712  Crotalaria pumila           | Low Rattlebox               | Alçak Çıngırak Otu
713  Dendrobium chrysotoxum      | Fried Egg Orchid            | Sahanda Yumurta Orkidesi
714  Dendrobium crumenatum       | Pigeon Orchid               | Güvercin Orkidesi
715  Dendrobium moschatum        | Musk Dendrobium             | Misk Dendrobium
716  Entada gigas                | Sea Heart                   | Deniz Kalbi
717  Fittonia albivenis          | Nerve Plant                 | Sinir Bitkisi
718  Illicium verum              | Star Anise                  | Yıldız Anason
719  Lactuca floridana           | Woodland Lettuce            | Orman Marulu
720  Mussaenda pubescens         | Downy Mussaenda             | Tüylü Mussaenda
721  Neolamarckia cadamba        | Cadamba                     | Kadamba Ağacı
722  Nymphaea ampla              | Sacred White Waterlily      | Kutsal Beyaz Nilüfer
723  Phyllanthus epiphyllanthus  | —                           | —
724  Phyllanthus mimosoides      | —                           | —
725  Pilosocereus royeni         | —                           | —
726  Selenicereus anthonyanus    | Fishbone Cactus             | Balık Kılçığı Kaktüsü
727  Selenicereus grandiflorus   | Queen of the Night          | Gece Kraliçesi
728  Zamia pumila                | Florida Coontie             | Florida Zamisi
729  Acalypha aristata           | —                           | —
730  Chamerion latifolium        | Broad-leaved Willowherb     | Geniş Yapraklı İt Otu
731  Cirsium discolor            | Field Thistle               | Tarla Devedikenesi
732  Cirsium foliosum            | Leafy Thistle               | Yapraklı Devedikeni
733  Cirsium muticum             | Swamp Thistle               | Bataklık Devedikenesi
734  Cirsium undulatum           | Wavyleaf Thistle            | Dalgalı Yapraklı Devedikeni
735  Comptonia peregrina         | Sweet Fern                  | Tatlı Eğrelti
736  Conoclinium coelestinum     | Blue Mistflower             | Mavi Sis Çiçeği
737  Dalea purpurea              | Purple Prairie Clover       | Mor Çayır Yoncası
738  Daucus pusillus             | American Wild Carrot        | Amerikan Yabani Havucu
739  Diervilla lonicera          | Northern Bush Honeysuckle   | Kuzey Çalı Hanımeli
740  Dryopteris carthusiana      | Spinulose Wood Fern         | Dikenli Orman Eğreltisi
741  Dryopteris cristata         | Crested Wood Fern           | Tepeli Orman Eğreltisi
742  Dryopteris intermedia       | Intermediate Wood Fern      | Orta Orman Eğreltisi
743  Dryopteris marginalis       | Marginal Wood Fern          | Kenarlı Orman Eğreltisi
744  Duchesnea indica            | Indian Strawberry           | Hint Çileği
745  Epipactis gigantea          | Giant Helleborine           | Dev Dağ Orkidesi
746  Hypericum kalmianum         | Kalm's St. John's Wort      | —
747  Hypericum prolificum        | Shrubby St. John's Wort     | Çalılı Kantaron
748  Hypericum punctatum         | Spotted St. John's Wort     | Benekli Kantaron
749  Anemone canadensis          | Canada Anemone              | Kanada Anemonu
750  Iva frutescens              | Marsh Elder                 | Bataklık Mürver
751  Anemone multifida           | Cut-leaved Anemone          | Parçalı Yapraklı Anemon
752  Anemone virginiana          | Thimbleweed                 | Yüksük Otu
753  Lactuca biennis             | Tall Blue Lettuce           | Uzun Mavi Marul
754  Lactuca canadensis          | Canada Lettuce              | Kanada Marulu
755  Lamium maculatum            | Spotted Deadnettle          | Benekli Ballıbaba
756  Leersia virginica           | Whitegrass                  | Beyaz Çim
757  Angelica lucida             | Sea-coast Angelica          | Kıyı Melek Otu
758  Lupinus argenteus           | Silvery Lupin               | Gümüşi Acı Bakla
759  Lupinus bicolor             | Miniature Lupin             | Minyatür Acı Bakla
760  Maianthemum canadense       | Canada Mayflower            | Kanada Mayıs Çiçeği
761  Maianthemum racemosum       | False Solomon's Seal        | Yalancı Süleyman'ın Mühürü
762  Maianthemum stellatum       | Starry Solomon's Seal       | Yıldızlı Süleyman'ın Mühürü
763  Maianthemum trifolium       | Three-leaved Solomon's Seal | Üç Yapraklı Süleyman'ın Mühürü
764  Mertensia maritima          | Oysterleaf                  | İstiridye Yaprağı
765  Mertensia paniculata        | Tall Lungwort               | Uzun Akciğer Otu
766  Mertensia virginica         | Virginia Bluebells          | Virginia Çan Çiçekleri
767  Mitella diphylla            | Two-leaved Bishop's Cap     | İki Yapraklı Piskopos Şapkası
768  Moehringia lateriflora      | Bluntleaf Sandwort          | Küt Yapraklı Kum Otu
769  Nymphaea mexicana           | Yellow Water Lily           | Sarı Nilüfer
770  Nymphaea odorata            | Fragrant Waterlily          | Kokulu Nilüfer
771  Nymphaea tetragona          | Pygmy Water Lily            | Cüce Nilüfer
772  Osmunda cinnamomea          | Cinnamon Fern               | Tarçın Eğreltisi
773  Osmunda claytoniana         | Interrupted Fern            | Kesintili Eğrelti
774  Papaver nudicaule           | Iceland Poppy               | İzlanda Geliniği
775  Aralia hispida              | Bristly Sarsaparilla        | Dikenli Sarsaparilla
776  Aralia nudicaulis           | Wild Sarsaparilla           | Yabani Sarsaparilla
777  Aralia racemosa             | American Spikenard          | Amerikan Hindin
778  Pyracantha coccinea         | Scarlet Firethorn           | Kırmızı Ateş Dikeni
779  Sedum divergens             | Spreading Stonecrop         | Yayılan Damkoruğu
780  Sedum lanceolatum           | Lance-leaved Stonecrop      | Mızrak Yapraklı Damkoruğu
781  Sedum oreganum              | Oregon Stonecrop            | Oregon Damkoruğu
782  Sedum spathulifolium        | Broad-leaved Stonecrop      | Geniş Yapraklı Damkoruğu
783  Sedum ternatum              | Wild Stonecrop              | Yabani Damkoruğu
784  Smilax herbacea             | Smooth Carrion Flower       | Düz Çiçek
785  Smilax tamnoides            | Bristly Greenbrier          | Dikenli Gıcır
786  Tradescantia occidentalis   | Prairie Spiderwort          | Çayır Örümcek Otu
787  Tradescantia ohiensis       | Ohio Spiderwort             | Ohio Örümcek Otu
788  Balsamorhiza sagittata      | Arrowleaf Balsamroot        | Ok Yapraklı Balsam Kökü
789  Barbarea orthoceras         | American Yellow Rocket      | Amerikan Sarı Roketi
790  Barbarea vulgaris           | Common Yellow Rocket        | Sıradan Sarı Roket
791  Calochortus macrocarpus     | Sagebrush Mariposa Lily     | Adaçayı Mariposa Zambağı
792  Entada phaseoloides         | Matchbox Bean               | Kibrit Kutusu Fasulyesi
793  Cerbera manghas             | Sea Mango                   | Deniz Mangosu
794  Hernandia cordigera         | —                           | —
795  Acacia simplex              | Pacific Island Wattle       | Pasifik Adası Akasyası
796  Dubouzetia confusa          | —                           | —
797  Dubouzetia campanulata      | —                           | —
798  Acacia spirorbis            | —                           | —
799  Atractocarpus platyxylon    | —                           | —
800  Nepenthes vieillardii       | Vieillard's Pitcher Plant   | Vieillard Sürahi Bitkisi
801  Dendrobium closterium       | —                           | —
802  Dracophyllum verticillatum  | —                           | —
803  Schefflera spp.             | Umbrella Plant              | Şemsiye Bitkisi
804  Tagetes lucida              | Mexican Marigold            | Meksika Kadife Çiçeği
805  Anisocampium niponicum      | Japanese Painted Fern       | Japon Boyalı Eğreltisi
806  Mertensia ciliata           | Mountain Bluebells          | Dağ Çan Çiçekleri
807  Lithops fulviceps           | Living Stone                | Yaşayan Taş
808  Lithops karasmontana        | Living Stone                | Yaşayan Taş
809  Lithops marmorata           | Living Stone                | Yaşayan Taş
810  Lithops pseudotruncatella   | Living Stone                | Yaşayan Taş
811  Fittonia albivenis          | Nerve Plant                 | Sinir Bitkisi
812  Lithops spp.                | Living Stones               | Yaşayan Taşlar
813  Cereus hildmannianus        | Hildmann's Cereus           | —
814  Neobuxbaumia polylopha      | Garambullo Cactus           | —
815  Calycanthus occidentalis    | Western Sweetshrub          | Batı Tatlı Çalısı
816  Tradescantia subaspera      | Zigzag Spiderwort           | Zigzag Örümcek Otu
817  Sedum kamtschaticum         | Kamschatka Stonecrop        | Kamçatka Damkoruğu
818  Sedum lineare               | Needle Stonecrop            | İğne Damkoruğu
819  Sedum morganianum           | Donkey's Tail               | Eşek Kuyruğu
820  Cucurbita foetidissima      | Stinking Gourd              | Kokan Kabak
821  Eucryphia cordifolia        | Ulmo                        | Ulmo Ağacı
822  Dryopteris cycadina         | Shaggy Wood Fern            | Pürüzlü Orman Eğreltisi
823  Dryopteris erythrosora      | Autumn Fern                 | Sonbahar Eğreltisi
824  Dryopteris sieboldii        | Siebold's Wood Fern         | Siebold Orman Eğreltisi
825  Rumohra adiantiformis       | Leatherleaf Fern            | Deri Yapraklı Eğrelti
826  Oxydendrum arboreum         | Sourwood                    | Ekşi Ağaç
827  Lupinus albifrons           | Silver Bush Lupine          | Gümüş Çalı Acı Bakla
828  Lycoris radiata             | Red Spider Lily             | Kırmızı Örümcek Zambağı
829  Garrya elliptica            | Silk Tassel Bush            | İpek Püskül Çalısı
830  Lycoris squamigera          | Resurrection Lily           | Diriliş Zambağı
831  Pelargonium crispum         | Lemon Geranium              | Limon Sardunyası
832  Pelargonium x hortorum      | Garden Geranium             | Bahçe Sardunyası
